tenant,chain,chain_code,pilot_scope,canonical_product_id,item,upc,description,objective,unit,period,value,is_observed_zero,is_missing,close_status,source_file,source_sheet,source_row,source_cell,record_hash,selection_rule
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-01,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,I111,026dd6b152cc4c485bc4284ab85acdc8f77cd02691038067942654118aca2595,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-02,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,N111,3f03088a411e51fa82c8a9723104dbe43940d672032d452d34c9d1e1bedb7564,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-03,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,S111,c6da7823c4bdf960560cc188c266b93c91244a071b2c3387451a0bd8d13f24a2,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-04,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,X111,470e62ec6397104c5f7daafe9b8f84394c6166e5529cd6ec11f442841555a6c0,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-05,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,AC111,74349aad5d6a3f36e305dfbf05622aa0694045ce1e8b7c33146cb3895c59cd2b,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-06,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,AH111,36b44b3ac1f4cd9e3ce325c91b1a0457182bc360a9c75c9803627d432f1edeca,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-07,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,AM111,ea39a7ba01845395b696da5fc3cd0390e2b8fb8ea0a140287a640a61537b1818,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-08,0.0,True,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,AR111,5f403ee3e493560ebbde14d466a7932aa6ee09f78f97cf96bd4f363cee0ae0b8,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-09,9414.0,False,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,AW111,b1a21eacf974e53c83cb50c03c544de9e1b1de16efd33f3a1f0e009f26bfd9fa,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-10,5748.0,False,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,BB111,b26ca9439de0428bd1ac604accf26ade73b3dc02492e5c456e370532f6899050,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-11,11316.0,False,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,BG111,7a3ff0460549d5a5cb9ee1095d6cb52868ff74884d9ed9457c1df7f8afebd784,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,TOALLA MB FENDI CHOCOLATE,Pedido,eaches/piezas (provisional por encabezado; confirmar unidad oficial),2024-12,3480.0,False,False,no documentado en fuente,Estadistica Venta Resurtible WM 2024 Dic 2024.xlsx,Base,111,BL111,59f0ca60e42887ce9dcff3b3228b1bb2f84c11d32326826c1a2c272d077a418b,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,Toalla Mb Fendi Chocolate,Pedido,pieza (provisional; la tabla no contiene columna Unidad),2025-01,7884.0,False,False,cierre julio 2026 indicado por nombre del archivo; estado por fila no disponible,Estadistica Todas las Cadenas Cierre de Julio 2026.xlsx,BAASE,590,W590,c2d9d9d213639e4c6e7bafd0b1f3b3e08f049527c6be0accf2f363ba4967f911,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,Toalla Mb Fendi Chocolate,Pedido,pieza (provisional; la tabla no contiene columna Unidad),2025-02,6276.0,False,False,cierre julio 2026 indicado por nombre del archivo; estado por fila no disponible,Estadistica Todas las Cadenas Cierre de Julio 2026.xlsx,BAASE,1211,W1211,3bf73358779fe1a4ffb32372f747d949a53899ab703a4bcf7e8da847a206b083,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,Toalla Mb Fendi Chocolate,Pedido,pieza (provisional; la tabla no contiene columna Unidad),2025-03,13524.0,False,False,cierre julio 2026 indicado por nombre del archivo; estado por fila no disponible,Estadistica Todas las Cadenas Cierre de Julio 2026.xlsx,BAASE,1833,W1833,0b306a8f8b91466ea8245cffac171cc27cb900132c08d9bf0ff7e6f29612ec3e,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,Toalla Mb Fendi Chocolate,Pedido,pieza (provisional; la tabla no contiene columna Unidad),2025-04,7896.0,False,False,cierre julio 2026 indicado por nombre del archivo; estado por fila no disponible,Estadistica Todas las Cadenas Cierre de Julio 2026.xlsx,BAASE,2452,W2452,834d8b45f1d552bbe6ed1ed6a810da23e3cbb22b6b4d9cf599a8316eb05b65ac,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
Towell,Walmart,WM,FENDI BD / familia FENDI en Walmart,7501897813122,101285353,7501897813122,Toalla Mb Fendi Chocolate,Pedido,pieza (provisional; la tabla no contiene columna Unidad),2025-05,14604.0,False,False,cierre julio 2026 indicado por nombre del archivo; estado por fila no disponible,Estadistica Todas las Cadenas Cierre de Julio 2026.xlsx,BAASE,3071,W3071,8961f8b8b83bce53ee6a48ff0e514e0385ad10ce14bf59fa24c36468b54de964,2024=Base del cierre 2024; 2025-2026=BAASE del cierre julio 2026; solo Walmart + familia FENDI.
